University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;null;null;BIO-ANALYTICAL CHEMISTRY 2;BIC260S;null;null
null;null;null;null;BIOPROCESSING 2B;BOP261S;null;null
null;null;null;null;BIOTECHNOLOGY WORKPLACE PREPAREDNESS;BWP250S;null;null
null;null;null;null;MICROBIOLOGY 2B;MIY261S;null;null
null;null;null;null;MOLECULAR BIOLOGY TECHNIQUES;MMB260S;null;null
null;null;null;3;APPLIED BIOTECHNOLOGY;ABT360S;null;null
null;null;null;null;BIOTECHNOLOGY INTEGRATED PROJECT 3;BTP360S;null;null
null;null;null;null;BIOTECHNOLOGY WORKPLACE-BASED LEARNING;BIP360S;null;null
null;null;null;null;RESEARCH METHODOLOGY: INTRODUCTION;RET360S;null;null
null;null;EXTENDED DIPLOMA IN BIOTECHNOLOGY;1;BIOCHEMISTRY 1;BIG150X;null;null
null;null;null;null;MICROBIOLOGY 1;MIY150X;null;null
null;null;null;null;OPERATIONS MANAGEMENT;OPM250S;null;null
null;null;null;null;IMMUNOLOGY;IMM150S;null;null
null;null;null;null;BIO-ANALYTICAL CHEMISTRY 1;BIC150X;null;null
null;null;null;2;BIOCHEMISTRY 2A;BIG260S;null;null
null;null;null;null;BIOPROCESSING 2A;BOP260S;null;null
null;null;null;null;MICROBIOLOGY 2A;MIY260S;null;null
null;null;null;null;BIO-ANALYTICAL CHEMISTRY 2;BIC260S;null;null
null;null;null;null;BIOPROCESSING 2B;BOP261S;null;null
null;null;null;null;BIOTECHNOLOGY WORKPLACE PREPAREDNESS;BWP250S;null;null
null;null;null;null;MICROBIOLOGY 2B;MIY261S;null;null
null;null;null;null;MOLECULAR BIOLOGY TECHNIQUES;MMB260S;null;null
null;null;null;3;APPLIED BIOTECHNOLOGY;ABT360S;null;null
null;null;null;null;BIOTECHNOLOGY INTEGRATED PROJECT 3;BTP360S;null;null
null;null;null;null;BIOTECHNOLOGY WORKPLACE-BASED LEARNING;BIP360S;null;null
null;null;null;null;RESEARCH METHODOLOGY: INTRODUCTION;RET360S;null;null
null;null;DIPLOMA IN CONSUMER SCIENCE IN FOOD & NUTRITION;1;APPLIED SCIENCES: INTRODUCTION;PHA150S;null;null
null;null;null;null;FOOD COMMUNICATION;FCM150S;null;null
null;null;null;null;FOOD PRODUCTION AND SERVICE OPERATIONS 1;FPO150S;null;null
null;null;null;null;FOOD: SCIENCE AND PRACTICE 1;FAH150S;null;null
null;null;null;null;NUTRITION 1;NUT150S;null;null
null;null;null;2;CONSUMER RETAILING;COU250S;null;null
null;null;null;null;FOOD MICROBIOLOGY AND QUALITY CONTROL;FMQ250S;null;null
null;null;null;null;FOOD PRODUCTION AND SERVICE OPERATIONS 2;FPO260S;null;null
null;null;null;null;FOOD: SCIENCE AND PRACTICE 2;FAH260S;null;null
null;null;null;null;NUTRITION 2;NUT260S;null;null
null;null;null;3;APPLIED FOOD AND NUTRITION PRACTICE 3;AFP360S;null;null
null;null;null;null;FOOD PRODUCTION AND SERVICE OPERATIONS 3;FPO360S;null;null
null;null;null;null;FOOD: SCIENCE AND PRACTICE 3;FAH360S;null;null
null;null;null;null;NUTRITION 3;NUT360S;null;null
null;null;Extended Diploma in Consumer Science in food and nutrition;1;CONSUMER RETAILING;COU250S;null;null
null;null;null;null;FOOD: SCIENCE AND PRACTICE 1;FAH150X;null;null
null;null;null;null;NUTRITION 1;NUT150X;null;null
null;null;null;2;FOOD MICROBIOLOGY AND QUALITY CONTROL;FMQ250S;null;null
null;null;null;null;FOOD PRODUCTION AND SERVICE OPERATIONS 2;FPO260S;null;null
null;null;null;null;FOOD: SCIENCE AND PRACTICE 2;FAH260S;null;null
null;null;null;null;NUTRITION 2;NUT260S;null;null
null;null;null;3;APPLIED FOOD AND NUTRITION PRACTICE 3;AFP360S;null;null
null;null;null;null;FOOD PRODUCTION AND SERVICE OPERATIONS 3;FPO360S;null;null
null;null;null;null;FOOD: SCIENCE AND PRACTICE 3;FAH360S;null;null
null;null;null;null;NUTRITION 3;NUT360S;null;null
null;null;Diploma in Analytical Chemistry;1;ANALYTICAL CHEMISTRY 1: THEORY;ACH150S;null;null
null;null;null;null;CHEMICAL LABORATORY PRACTICE 1;CLP150S;null;null
null;null;null;null;CHEMISTRY 1;CHE150S;null;null
null;null;null;null;INORGANIC CHEMISTRY 1;INC150S;null;null
null;null;null;null;MATHEMATICS 1;MAT150S;null;null
null;null;null;null;PHYSICS 1;PHY150S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 1: PRACTICAL;ACH151S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 1: THEORY;ACH150S;null;null
null;null;null;null;INORGANIC CHEMISTRY 1;INC150S;null;null
null;null;null;null;ORGANIC CHEMISTRY 1;ORG150S;null;null
null;null;null;null;PHYSICAL CHEMISTRY 1;PCH150S;null;null
null;null;null;2;CHEMICAL QUALITY ASSURANCE 2;CQA262S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2A;ACH260S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2A: PRACTICAL;ACP260S;null;null
null;null;null;null;INORGANIC CHEMISTRY 2;INC260S;null;null
null;null;null;null;PHYSICAL CHEMISTRY 2;PCH260S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2B;ACH261S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2B: PRACTICAL;ACP261S;null;null
null;null;null;null;MICROBIOLOGY;MCB260S;null;null
null;null;null;null;ORGANIC CHEMISTRY 2;ORG260S;null;null
null;null;null;3;CHEMICAL TECHNOLOGY 3;CHT360S;null;null
null;null;null;null;ENTREPENEURIAL SKILLS;ENS360S;null;null
null;null;null;null;RESEARCH METHODOLOGY 1: INTRODUCTION;RSM360S;null;null
null;null;null;null;CHEMISTRY PROJECT 3;CPJ360S;null;null
null;null;Extended Diploma in Analytical Chemistry;1;ANALYTICAL CHEMISTRY 1: THEORY;ACH150X;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 1: PRACTICAL;ACH151X;null;null
null;null;null;null;INORGANIC CHEMISTRY 1;INC150X;null;null
null;null;null;null;ORGANIC CHEMISTRY 1;ORG150X;null;null
null;null;null;null;PHYSICAL CHEMISTRY 1;PCH150X;null;null
null;null;null;2;CHEMICAL QUALITY ASSURANCE 2;CQA262S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2A;ACH260S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2A: PRACTICAL;ACP260S;null;null
null;null;null;null;INORGANIC CHEMISTRY 2;INC260S;null;null
null;null;null;null;PHYSICAL CHEMISTRY 2;PCH260S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2B;ACH261S;null;null
null;null;null;null;ANALYTICAL CHEMISTRY 2B: PRACTICAL;ACP261S;null;null
null;null;null;null;MICROBIOLOGY;MCB260S;null;null
null;null;null;null;ORGANIC CHEMISTRY 2;ORG260S;null;null
null;null;null;3;CHEMICAL TECHNOLOGY 3;CHT360S;null;null
null;null;null;null;ENTREPENEURIAL SKILLS;ENS360S;null;null
