University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;null;3;Population Ecology ;ZOOV202;10;null
null;null;null;3;Community Ecology;ZOOV212;10;null
null;null;null;4;Advanced Protein Technology ;BCV301;30;null
null;null;null;4;Integrated Biochemistry ;BCV302;30;null
null;null;null;4;"Bacteriology, Microbial Ecology, Virology and 
Mycology";BMV301;30;null
null;null;null;4;"Gene Manipulation, Industrial Microbiology and 
Biotechnology ";BMV302;30;null
null;null;null;4;Chemistry Inorganic ;CHIV300;20;null
null;null;null;4;Chemistry Organic;CHOV300;20;null
null;null;null;4;Chemistry Physical ;CHPV300 ;20;null
null;null;null;4;Integrated Human Physiology I;BSPD301;30;null
null;null;null;4;Integrated Human Physiology II ;BSPD302;30;null
